0x0,0x3,0x6,0x5,0xc,0xf,0xa,0x9,0xb,0x8,0xd,0xe,0x7,0x4,0x1,0x2
0x5,0x6,0x3,0x0,0x9,0xa,0xf,0xc,0xe,0xd,0x8,0xb,0x2,0x1,0x4,0x7
0xa,0x9,0xc,0xf,0x6,0x5,0x0,0x3,0x1,0x2,0x7,0x4,0xd,0xe,0xb,0x8
0xf,0xc,0x9,0xa,0x3,0x0,0x5,0x6,0x4,0x7,0x2,0x1,0x8,0xb,0xe,0xd
0x7,0x4,0x1,0x2,0xb,0x8,0xd,0xe,0xc,0xf,0xa,0x9,0x0,0x3,0x6,0x5
0x2,0x1,0x4,0x7,0xe,0xd,0x8,0xb,0x9,0xa,0xf,0xc,0x5,0x6,0x3,0x0
0xd,0xe,0xb,0x8,0x1,0x2,0x7,0x4,0x6,0x5,0x0,0x3,0xa,0x9,0xc,0xf
0x8,0xb,0xe,0xd,0x4,0x7,0x2,0x1,0x3,0x0,0x5,0x6,0xf,0xc,0x9,0xa
0xe,0xd,0x8,0xb,0x2,0x1,0x4,0x7,0x5,0x6,0x3,0x0,0x9,0xa,0xf,0xc
0xb,0x8,0xd,0xe,0x7,0x4,0x1,0x2,0x0,0x3,0x6,0x5,0xc,0xf,0xa,0x9
0x4,0x7,0x2,0x1,0x8,0xb,0xe,0xd,0xf,0xc,0x9,0xa,0x3,0x0,0x5,0x6
0x1,0x2,0x7,0x4,0xd,0xe,0xb,0x8,0xa,0x9,0xc,0xf,0x6,0x5,0x0,0x3
0x9,0xa,0xf,0xc,0x5,0x6,0x3,0x0,0x2,0x1,0x4,0x7,0xe,0xd,0x8,0xb
0xc,0xf,0xa,0x9,0x0,0x3,0x6,0x5,0x7,0x4,0x1,0x2,0xb,0x8,0xd,0xe
0x3,0x0,0x5,0x6,0xf,0xc,0x9,0xa,0x8,0xb,0xe,0xd,0x4,0x7,0x2,0x1
0x6,0x5,0x0,0x3,0xa,0x9,0xc,0xf,0xd,0xe,0xb,0x8,0x1,0x2,0x7,0x4
